id,user_id,trail_id,times_visited
1,92,5,1
2,81,3,1
3,60,3,1
4,100,1,1
5,56,3,1
6,87,1,1
7,96,2,1
8,71,5,1
9,47,1,1
10,17,2,1
11,49,2,1
12,53,2,1
13,64,2,1
14,88,4,1
15,45,2,1
16,66,5,1
17,66,4,1
18,85,3,1
19,76,4,1
20,83,5,1
21,74,1,1
22,62,3,1
23,50,2,1
24,83,3,1
25,90,4,1
26,94,5,1
27,48,5,1
28,11,3,1
29,52,3,1
30,90,4,1
31,12,3,1
32,3,4,1
33,20,2,1
34,26,5,1
35,40,1,1
36,32,5,1
37,43,4,1
38,65,2,1
39,71,4,1
40,66,5,1
41,38,5,1
42,47,5,1
43,6,4,1
44,83,4,1
45,32,3,1
46,53,1,1
47,61,1,1
48,32,4,1
49,76,3,1
50,71,2,1
51,19,3,1
52,6,4,1
53,15,4,1
54,95,4,1
55,91,5,1
56,46,3,1
57,13,2,1
58,48,4,1
59,39,3,1
60,34,5,1
61,92,1,1
62,61,5,1
63,62,1,1
64,73,4,1
65,89,1,1
66,57,3,1
67,71,1,1
68,99,1,1
69,51,4,1
70,45,4,1
71,96,1,1
72,1,1,1
73,23,2,1
74,75,4,1
75,18,4,1
76,97,4,1
77,82,3,1
78,87,4,1
79,99,4,1
80,13,5,1
81,51,3,1
82,24,4,1
83,81,2,1
84,73,2,1
85,81,4,1
86,100,5,1
87,21,5,1
88,78,1,1
89,78,1,1
90,76,1,1
91,24,1,1
92,95,4,1
93,23,4,1
94,40,3,1
95,38,1,1
96,30,3,1
97,68,1,1
98,10,2,1
99,5,5,1
100,56,2,1
